40 80
12 38 7
35 31 5
14 33 3
13 41 5
30 17 1
3 47 1
34 12 7
37 44 5
2 23 2
31 41 7
33 17 1
28 25 4
12 30 1
11 10 7
24 10 3
40 26 6
19 40 7
22 40 7
22 45 6
34 44 4
10 49 5
6 13 3
5 42 6
33 27 7
21 47 5
34 16 2
39 41 2
9 42 7
33 31 7
17 31 3
34 40 5
9 44 2
17 23 4
6 19 4
31 25 1
3 43 6
37 41 5
31 39 2
37 31 6
5 48 4
39 29 4
11 45 5
25 49 4
22 10 3
14 31 5
5 49 2
22 37 6
7 47 7
19 16 7
16 46 1
27 32 7
40 11 3
4 22 3
34 36 5
33 17 3
11 31 7
7 34 1
16 13 6
19 41 7
40 23 6
11 21 1
30 14 5
23 49 2
21 44 7
18 15 6
40 35 5
33 48 3
25 33 4
26 29 7
18 42 1
23 47 3
20 25 3
35 30 6
25 30 3
35 27 1
37 34 4
40 11 2
3 42 7
38 48 4
4 40 4
